id,timestamp,player_id,aim_offset_x,aim_offset_y,hit_x,hit_y,hit_z
122,2025-07-23T13:34:20.577279,BP_TelemetryFPS4Character_C_0,-35.69,169.45,-3568.21,777.07,261.5
123,2025-07-23T13:34:20.811328,BP_TelemetryFPS4Character_C_0,-35.69,169.45,-3568.21,777.07,261.5
124,2025-07-23T13:34:21.046163,BP_TelemetryFPS4Character_C_0,-35.69,169.45,-3568.21,777.07,261.5
125,2025-07-23T13:34:21.247822,BP_TelemetryFPS4Character_C_0,-34.91,125.18,-3539.17,827.34,260.41
126,2025-07-23T13:34:21.651321,BP_TelemetryFPS4Character_C_0,-34.91,125.18,-3539.17,827.34,260.41
127,2025-07-23T13:34:21.886626,BP_TelemetryFPS4Character_C_0,-35.62,89.3,-3493.1,837.33,262.58
128,2025-07-23T13:34:22.087433,BP_TelemetryFPS4Character_C_0,-35.62,89.3,-3493.1,837.33,262.58
129,2025-07-23T13:34:22.287738,BP_TelemetryFPS4Character_C_0,-35.62,89.3,-3493.1,837.33,262.58
130,2025-07-23T13:34:22.522739,BP_TelemetryFPS4Character_C_0,-35.62,89.3,-3493.1,837.33,262.58
131,2025-07-23T13:34:22.758056,BP_TelemetryFPS4Character_C_0,-35.62,89.3,-3493.1,837.33,262.58
132,2025-07-23T13:34:22.957477,BP_TelemetryFPS4Character_C_0,-36.34,135.41,-3546.13,814.64,262.38
133,2025-07-23T13:34:23.393638,BP_TelemetryFPS4Character_C_0,-36.34,135.41,-3546.13,814.64,262.38
134,2025-07-23T13:34:23.595363,BP_TelemetryFPS4Character_C_0,-36.34,135.41,-3546.13,814.64,262.38
135,2025-07-23T13:34:24.031135,BP_TelemetryFPS4Character_C_0,-36.34,135.41,-3546.13,814.64,262.38
136,2025-07-23T13:34:24.230432,BP_TelemetryFPS4Character_C_0,-34.67,-117.82,-3530.99,693.18,260.14
137,2025-07-23T13:34:24.464960,BP_TelemetryFPS4Character_C_0,-34.67,-117.82,-3530.99,693.18,260.14
138,2025-07-23T13:34:24.665479,BP_TelemetryFPS4Character_C_0,-34.67,-117.82,-3530.99,693.18,260.14
139,2025-07-23T13:34:24.899042,BP_TelemetryFPS4Character_C_0,-34.67,-117.82,-3530.99,693.18,260.14
140,2025-07-23T13:34:25.100780,BP_TelemetryFPS4Character_C_0,-34.84,-118.01,-3530.91,693.22,260.37
141,2025-07-23T13:34:25.534432,BP_TelemetryFPS4Character_C_0,-49.03,-148.28,-3571.57,698.72,277.19
142,2025-07-23T13:34:25.768529,BP_TelemetryFPS4Character_C_0,-62.9,-175.12,-3577.31,693.98,304.3
143,2025-07-23T13:34:25.969649,BP_TelemetryFPS4Character_C_0,-63.65,168.61,-3578.69,693.62,304.57
144,2025-07-23T13:34:26.204563,BP_TelemetryFPS4Character_C_0,-60.88,161.17,-3574.27,691.99,302.91
145,2025-07-23T13:34:26.406168,BP_TelemetryFPS4Character_C_0,-53.55,-156.23,-3591.99,637.49,287.47
146,2025-07-23T13:34:26.642421,BP_TelemetryFPS4Character_C_0,-64.42,-156.1,-3595.62,635.92,304.64
147,2025-07-23T13:34:26.877956,BP_TelemetryFPS4Character_C_0,-65.85,-158.41,-3598.46,634.83,304.17
