id,timestamp,player_id,aim_offset_x,aim_offset_y,hit_x,hit_y,hit_z,aimbot
75,2025-07-08T18:00:59.953352,BP_TelemetryFPS4Character_C_0,-25.51,2.79,-2083.93,-76.08,252.35,1
76,2025-07-08T18:01:00.189861,BP_TelemetryFPS4Character_C_0,-29.73,22.49,-2141.08,-8.33,254.69,1
77,2025-07-08T18:01:00.389928,BP_TelemetryFPS4Character_C_0,-32.99,39.9,-2200.54,23.46,263.03,1
78,2025-07-08T18:01:00.624060,BP_TelemetryFPS4Character_C_0,-37.59,59.8,-2258.69,41.37,264.08,1
79,2025-07-08T18:01:00.825244,BP_TelemetryFPS4Character_C_0,-54.04,79.94,-2319.63,-6.39,286.97,1
80,2025-07-08T18:01:01.026900,BP_TelemetryFPS4Character_C_0,-13.69,-19.6,-1892.48,-247.27,248.58,1
81,2025-07-08T18:01:01.260863,BP_TelemetryFPS4Character_C_0,-14.74,-8.81,-1998.84,-141.08,273.72,1
82,2025-07-08T18:01:01.461810,BP_TelemetryFPS4Character_C_0,-16.91,-4.86,-2008.19,-116.5,263.92,1
83,2025-07-08T18:01:01.661754,BP_TelemetryFPS4Character_C_0,-19.9,-0.55,-2083.98,-90.83,273.48,1
84,2025-07-08T18:01:01.897114,BP_TelemetryFPS4Character_C_0,-24.69,2.74,-2102.77,-77.11,258.93,1
85,2025-07-08T18:01:02.099522,BP_TelemetryFPS4Character_C_0,-28.82,21.66,-2143.82,-11.02,254.2,1
86,2025-07-08T18:01:02.333166,BP_TelemetryFPS4Character_C_0,-31.8,39.07,-2206.03,19.23,265.4,1
87,2025-07-08T18:01:02.534873,BP_TelemetryFPS4Character_C_0,-13.2,-19.51,-1896.14,-246.89,248.31,1
88,2025-07-08T18:01:02.734483,BP_TelemetryFPS4Character_C_0,-14.15,-8.81,-1940.96,-150.87,257.1,1
89,2025-07-08T18:01:02.935880,BP_TelemetryFPS4Character_C_0,-16.25,-4.84,-1956.44,-121.29,247.12,1
90,2025-07-08T18:01:03.171663,BP_TelemetryFPS4Character_C_0,-27.87,20.79,-2146.82,-13.98,253.68,1
91,2025-07-08T18:01:03.372264,BP_TelemetryFPS4Character_C_0,-30.62,38.25,-2195.72,27.68,255.16,1
92,2025-07-08T18:01:03.606181,BP_TelemetryFPS4Character_C_0,-33.89,79.39,-2313.12,71.66,258.95,1
93,2025-07-08T18:01:03.807471,BP_TelemetryFPS4Character_C_0,-12.68,-19.39,-1900.45,-246.12,248.01,1
94,2025-07-08T18:01:04.008738,BP_TelemetryFPS4Character_C_0,-13.54,-8.79,-1899.95,-157.92,245.74,1
95,2025-07-08T18:01:04.243335,BP_TelemetryFPS4Character_C_0,-15.56,-4.82,-1959.29,-121.37,246.75,1
96,2025-07-08T18:01:04.444455,BP_TelemetryFPS4Character_C_0,-29.41,37.43,-2198,25.98,254.52,1
97,2025-07-08T18:01:04.644407,BP_TelemetryFPS4Character_C_0,-33.78,78.18,-2315.69,64.68,258.8,1
98,2025-07-08T18:01:04.844787,BP_TelemetryFPS4Character_C_0,-12.15,-19.27,-1905.17,-245.04,247.69,1
99,2025-07-08T18:01:05.080367,BP_TelemetryFPS4Character_C_0,-12.92,-8.76,-1902.73,-158.03,245.43,1
100,2025-07-08T18:01:05.281011,BP_TelemetryFPS4Character_C_0,-14.87,-4.78,-1962.66,-121.34,246.38,1
101,2025-07-08T18:01:05.482361,BP_TelemetryFPS4Character_C_0,-28.21,36.64,-2200.68,24.03,253.87,1
102,2025-07-08T18:01:05.682727,BP_TelemetryFPS4Character_C_0,-33.68,76.81,-2318.12,57.25,258.65,1
103,2025-07-08T18:01:05.919663,BP_TelemetryFPS4Character_C_0,-11.61,-19.12,-1910.31,-243.69,247.35,1
104,2025-07-08T18:01:06.120821,BP_TelemetryFPS4Character_C_0,-12.3,-8.71,-1906.01,-157.95,245.12,1
105,2025-07-08T18:01:06.321916,BP_TelemetryFPS4Character_C_0,-27.02,35.88,-2203.76,21.83,253.21,1
106,2025-07-08T18:01:06.523216,BP_TelemetryFPS4Character_C_0,-33.58,75.31,-2320.54,49.39,258.51,1
107,2025-07-08T18:01:06.758235,BP_TelemetryFPS4Character_C_0,-10.24,-11.37,-1847.36,-192.39,244.1,1
108,2025-07-08T18:01:06.960475,BP_TelemetryFPS4Character_C_0,-11.66,-8.65,-1909.88,-157.71,244.8,1
